classes;albedo;sd;var_coef
DUN;0,36996661350549453;0,038871353837355176;0,10506719368281019
FOD;0,1696857824111557;0,014599550763190897;0,08603873910788577
LCP;0,03651437174806316;0,00516536495353416;0,14146114820688782
LCR;0,028358136610117195;0,0064215570844647464;0,22644495908711287
RAA;0,1254543296704764;0,009089190814325408;0,07245019632402849
SIL;0,11214766396986643;0,006584905387584189;0,05871638475994938
URB;0,16275229757421467;0,02071386722911598;0,12727234907188026
VHE;0,16246114500330394;0,017089838031365052;0,10519338658494312
