classes;Fall;Spring;Summer;Winter;total;total_percent
DUN;2295;462;855;2394;6006;6,575072527231923
FOD;13937;2685;5044;14217;35883;39,282938310799715
LCP;2556;497;923;2607;6583;7,206743664130494
LCR;2556;497;923;2592;6568;7,1903224040724725
RAA;5436;1057;1963;5565;14021;15,34949915156823
SIL;2232;434;806;2294;5766;6,312332366303575
URB;4454;875;1625;4570;11524;12,615906727242871
VHE;1944;378;688;1984;4994;5,46718484865072
