classes;emiss;sd;var_coef
DUN;0,9502057050063268;0,0004149906916938544;0,00043673773953092736
FOD;0,9737593192543809;0,005455304296334821;0,005602312797901654
LCP;0,985;0,0;0,0
LCR;0,985;0,0;0,0
RAA;0,9621301366492843;0,002616409713484448;0,0027193927451398207
SIL;0,9595146487835466;0,0017644989870478954;0,0018389495035692177
URB;0,9514782194712899;0,0010575123767764692;0,0011114414971727883
VHE;0,9573674536259622;0,003100140421180995;0,003238192827048204
