;classes;rns;rnl;rn
0;DUN;503,3085216967418;-108,37962606746517;394,9288956292766
1;FOD;645,0322025270113;-103,76496952765216;541,2672329993592
2;LCP;784,8593213867989;-102,21250535324215;682,6468160335567
3;LCR;791,6997363372049;-101,95924856932673;689,7404877678781
4;RAA;711,2040731946017;-103,47702185888024;607,7270513357215
5;SIL;723,5728317504764;-102,7239289976279;620,8489027528486
6;URB;673,8159507836756;-110,75296027759858;563,0629905060771
7;VHE;673,7630659840792;-110,75168921597063;563,0113767681086
