season;DUN;FOD;LCP;LCR;RAA;SIL;URB;VHE
Fall;-82,78141608557371;-90,98928395814767;-93,09968016259155;-92,74034463784511;-84,91945637900989;-83,96047386930938;-84,6883531056082;-87,45672281240118
Spring;-96,84128981274259;-97,170875215681;-100,29971572842328;-100,51940766494485;-94,89794464479512;-92,72730190197352;-100,30644095355763;-102,89263983639671
Summer;-100,2172022625339;-104,43902870002226;-105,85924681568747;-105,13581940063808;-99,57396357045015;-96,85987520846378;-103,2506643033804;-105,21896869956954
Winter;-80,11618771124405;-86,4467238015143;-90,11967957186391;-89,97460394034725;-82,38667101842256;-81,45355333760722;-81,89675047990006;-84,20682768878676
