season;DUN;FOD;LCP;LCR;RAA;SIL;URB;VHE
Spring;454,4;600,6;797,5;805,3;709,8;725,9;646,5;649,5
Summer;480,3;627,8;819,5;828,1;726,8;746,0;672,0;683,3
Fall;323,9;466,8;561,5;567,9;500,9;510,0;468,3;465,6
Winter;321,6;475,1;557,9;562,8;499,1;507,7;468,8;460,9
mean;395,0;542,6;684,1;691,0;609,2;622,4;563,9;564,8
