season;DUN;FOD;LCP;LCR;RAA;SIL;URB;VHE
Fall;-99,29790342558664;-98,19496224922688;-97,40636501147824;-96,78899206953147;-96,63788287789012;-96,70208211934082;-101,0865653023975;-101,1998552171486
Spring;-116,38044814450052;-107,56818046702176;-105,47408475786877;-106,04931573974034;-109,08322413797195;-107,30568588454673;-119,48125424314428;-121,44869912561562
Summer;-120,05627907030816;-112,48295988908569;-111,67821726641506;-112,26030594473872;-112,9534097267168;-111,44260228765557;-123,18727404276052;-121,53058118583797
Winter;-95,76061179126557;-95,77986856754352;-94,25932463084156;-93,92634432481478;-94,85181905769969;-94,85837044979749;-97,91931531967191;-98,483195554969
