classes;B2;B3;B4;B5;B6;B7
DUN;0,28800125;0,39382125;0,471385;0,58574375;0,6459687500000001;0,5905425
FOD;0,0212374999999999;0,0394974999999999;0,0224749999999999;0,4121499999999999;0,1461974999999999;0,0550074999999999
LCP;0,0059474999999999;0,0135375;0,0047375;0,000805;0,0022075;0,0022899999999999
LCR;0,02143;0,0708475;0,049438750000000004;0,0017675;0,0021799999999999;0,0021799999999999
RAA;0,012795;0,0319075;0,0173875;0,282075;0,0941124999999999;0,0350975
SIL;0,0130699999999999;0,0325949999999999;0,0174975;0,2447025;0,0775024999999999;0,0300374999999999
URB;0,07410625000000001;0,109595;0,1334925;0,2327675;0,2648325;0,21122125
VHE;0,04710124999999995;0,07665;0,0754949999999999;0,2929925;0,24385;0,13699874999999995
