;Season;Land_SW;Land_LW;Land_Rn;Water_SW;Water_LW;Water_Rn
0;Spring;744,1805708013827;-93,8813477938725;636,2317856385656;894,1218169516632;-96,6419955323805;791,6928647455746
1;Summer;763,0835699472901;-100,42140728446485;648,7889959349599;925,0638164954845;-104,85515521462294;813,8491679873106
2;Fall;536,7067590917275;-86,06589389050382;437,8439985528294;656,9260497675077;-92,1522733700531;559,0212011819291
3;Winter;532,4360078098798;-82,72879384112058;436,50069584679414;646,5425411235282;-89,25273781014933;551,74274865761
